LCLid,consumo_total,consumo_medio,consumo_std,consumo_max,consumo_min,dias_registrados,tarifa,acorn,Acorn_grouped,consumo_invierno,consumo_otono,consumo_primavera,consumo_verano,consumo_finde,consumo_semana
MAC001601,15309.9999978,23.77329192204969,8.831491643049159,67.94500000000001,0.143,644,Std,ACORN-F,Comfortable,30.916638885555553,21.621923075274726,25.344434343434344,18.036699446448086,25.113890721311478,23.241123635140998
MAC001602,1654.414,2.564982945736434,0.800060128575365,6.359000000000001,0.048,645,ToU,ACORN-F,Comfortable,2.9505666666666666,2.4611428571428573,2.342979797979798,2.4099402173913043,2.5719728260869563,2.56219305856833
MAC001603,18063.3229998,28.048638198447204,6.03756159224815,51.7539997,0.136,644,Std,ACORN-Q,Adversity,30.834366657777778,27.222071437362636,27.892676768686872,26.214999998360653,28.989673910326086,27.672223913695653
MAC001604,9676.7479996,15.002710076899225,4.016853740410767,35.79699999999999,0.266,645,Std,ACORN-M,Adversity,16.770988878333334,14.450098906043957,15.148171716161617,13.741211960326087,16.259239130434786,14.501188719305858
MAC001605,4298.0639994,6.663665115348838,2.033435624768769,16.099000000000004,0.089,645,Std,ACORN-J,Comfortable,7.533211112777778,6.526774724175824,6.156393938383839,6.221358692391305,7.503907607608697,6.328297179175705
MAC001606,2680.354,4.155587596899225,3.8626055221274993,18.584000000000003,0.013,645,Std,ACORN-E,Affluent,5.3286222216666665,4.551318681868132,3.5786262626262624,2.9270543478260866,4.314989129891305,4.091965293058569
MAC001607,4023.1110001,6.237381395503876,2.2186777875571493,14.314999900000002,0.186,645,Std,ACORN-N,Adversity,7.017755557222223,5.0853901093406595,6.160454545454546,6.654831521195652,6.08221739076087,6.299312364859003
MAC001608,11666.3660002,18.087389147596898,5.7993130072231285,34.65000010000001,0.28,645,Std,ACORN-L,Adversity,23.17067778277778,16.498428564285714,20.256040411111112,13.51946739076087,18.457853264130435,17.939524944902384
MAC001609,4367.1280003,6.770741085736434,2.1183860401860106,16.028999900000002,0.097,645,Std,ACORN-E,Affluent,7.590394445555556,6.766840659890111,7.0918484848484855,5.799994565217392,7.399896739130435,6.519624729501085
MAC001610,1933.2580004000001,3.0019534167701867,0.9754069505581143,7.483000100000001,0.014,644,ToU,ACORN-E,Affluent,2.998566668333333,3.007901098901099,2.7617979797979797,3.129289618032787,3.708902175543478,2.7191739132608697
MAC001611,9044.1220003,14.021894574108527,3.9581246562754906,30.2800001,0.059,645,Std,ACORN-M,Adversity,14.736283331111112,15.863131872527472,12.979585870707071,12.062619558152175,15.867255435326088,13.285351410412147
MAC001612,6627.7609987000005,10.2755984475969,4.092534239148883,40.6029996,0.124,645,ToU,ACORN-D,Affluent,11.54189444222222,11.87737911813187,8.310333331313132,8.509858694565219,9.225108688043479,10.694882863557485
MAC001613,13692.4579994,21.228617053333334,7.525979464432938,49.3749998,0.107,645,Std,ACORN-D,Affluent,26.18450000111111,21.605302192307693,20.553505053535353,16.371119564673915,23.321027171195652,20.393468546420824
MAC001614,5786.6859995,8.971606200775195,2.615432556887013,28.3359999,0.118,645,ToU,ACORN-D,Affluent,9.891155555000001,8.980241756593406,9.212232322222222,7.934038043478261,10.038999996195653,8.545574837744036
MAC001615,1843.4569996999994,2.862510869099378,1.5631198745814041,13.092999999999996,0.022,644,Std,ACORN-F,Comfortable,3.908016659444444,2.6405109934065925,2.8728775510204065,2.053798914130434,3.05241304673913,2.7865499980434776
MAC001616,3936.4519997,6.112503105124224,1.4430784125058018,11.405,0.054,644,Std,ACORN-Q,Adversity,6.893994443333333,6.369258241208792,5.497663264285714,5.421505435326088,6.44349456576087,5.980106520869566
MAC001617,4277.0849994,6.672519499843994,3.514001864965816,21.279,0.035,641,Std,ACORN-E,Affluent,8.620072221666666,8.015291206593407,4.794520407142857,4.402353591160221,7.578491802185793,6.3105262
MAC001618,8351.8400014,12.968695654347826,2.95312202041166,25.4819999,0.162,644,Std,ACORN-H,Comfortable,14.698700005000001,12.054945056593407,13.251877552040817,12.029293478804348,14.670701092391305,12.287893479130435
MAC001619,6606.4160018,10.25840994068323,2.6545020940858106,20.481000199999997,0.107,644,Std,ACORN-M,Adversity,10.969866673333334,10.44308791043956,10.434428574489795,9.28600000326087,10.996652175,9.963113046956522
MAC001620,8906.5789998,13.830091614596274,2.063212076015933,20.791999900000004,0.255,644,Std,ACORN-Q,Adversity,14.623400001666667,13.577824175274724,13.638459179591838,13.40561956521739,14.988076085869565,13.366897826086957
MAC001621,5458.0789997,8.47527794984472,5.528913502206331,49.59499959999999,0.193,644,Std,ACORN-N,Adversity,9.987327777777779,8.070010985714285,11.616183675510204,5.724086957065218,8.9394239125,8.289619564782608
MAC001622,1263.912,1.9625962732919255,0.6500253339135951,4.65,0.004,644,Std,ACORN-Q,Adversity,2.517805555555556,2.0254505494505497,1.7923469387755102,1.4479619565217392,2.311358695652174,1.8230913043478263
MAC001623,5768.8699986,8.957872668633541,3.160176628436913,22.7929998,0.049,644,Std,ACORN-E,Affluent,10.658683328333334,8.314659338461539,10.235540813265306,7.249760870652175,11.239048909782609,8.045402172173914
MAC001624,3770.5970002000004,5.854964286024845,1.8830081775220489,15.47,0.136,644,Std,ACORN-E,Affluent,6.480366666666668,5.3668846164835164,5.626734693877552,5.847489130434783,7.1711521750000005,5.328489130434783
MAC001625,9543.5819997,14.819226707608696,3.360322497531236,32.0999998,0.313,644,Std,ACORN-F,Comfortable,15.229372215555557,15.481593415384616,13.117602030612245,14.669130436413043,16.56677174076087,14.120208694347827
MAC001626,9365.812999,14.543187886645962,3.764134463266641,26.9950001,0.347,644,ToU,ACORN-G,Comfortable,15.844161120555555,14.440005485714288,15.734571417346938,12.738016304347827,14.978418480978261,14.369095648913044
MAC001627,7877.0420003,12.25045412177294,1.7717851077412177,17.698999999999995,0.14,643,Std,ACORN-N,Adversity,12.511811111111113,12.30409890164835,12.719561226530612,11.688814207650273,13.26596721420765,11.84645652195652
MAC001628,4307.3349998,6.709244547975079,2.531027815271562,23.545000000000005,0.041,642,Std,ACORN-A,Affluent,7.926477776666667,5.957873626923078,7.810718747916667,5.68699456576087,6.9489725280219785,6.61439565152174
MAC001629,485.6719997000001,1.8258345853383462,2.216236473885748,16.6969999,0.0,266,Std,ACORN-F,Comfortable,1.9165375,1.3762967032967035,0.0,2.2758901065934065,1.9186533293333337,1.7893874345549738
MAC001630,5436.0449997,8.467359812616822,3.3073910148994226,17.449,0.023,642,Std,ACORN-F,Comfortable,10.78823889,9.122648348901098,7.74801041875,5.924081520652174,8.290038462087912,8.537517390434783
MAC001631,6287.1029993,9.808273009828394,2.989205555018041,22.884,0.1,641,Std,ACORN-F,Comfortable,11.440572222222222,10.178131865934066,9.369177080208333,8.06524043715847,10.702204417127072,9.456530434347826
MAC001632,2075.963,3.4599383333333336,2.04172184617538,18.543999900000006,0.0,600,Std,ACORN-E,Affluent,3.3170359712230213,4.249862636263736,3.0316875020833334,3.007530054644809,3.428729412941177,3.47227674372093
